_id,spending_behavior,full_name,email,ssn,ip_address,gender,date_of_birth,zip_code,annual_income,credit_history_months,debt_to_income,savings_balance,loan_approved,rejection_reason,interest_rate,approved_amount,total_spending,age
app_110,"[{'category': 'Groceries', 'amount': 316}, {'category': 'Education', 'amount': 181}]",Mark Campbell,mark.campbell54@icloud.com,223-83-4934,192.168.251.236,Male,1962-07-07,10011,111000.0,112.0,0.07,58086.0,True,,3.4,78000.0,497,63
app_303,"[{'category': 'Insurance', 'amount': 373}, {'category': 'Healthcare', 'amount': 436}, {'category': 'Groceries', 'amount': 471}]",Catherine Smith,catherine.smith85@outlook.com,961-32-4455,192.168.65.3,Female,1998-12-03,90281,41000.0,67.0,0.41000000000000003,9650.0,False,algorithm_risk_score,0.0,0.0,1280,27
app_290,"[{'category': 'Fitness', 'amount': 599}]",Stephanie Perez,stephanie.perez69@gmail.com,866-48-3726,172.25.130.219,Female,1990-06-01,90221,104000.0,39.0,0.27,,True,,4.3,49000.0,599,35
app_193,"[{'category': 'Education', 'amount': 638}, {'category': 'Adult Entertainment', 'amount': 322}]",Rachel King,rachel.king61@gmail.com,852-24-1787,10.39.214.38,Female,1984-02-08,90221,155000.0,9.0,0.08,30968.0,False,insufficient_credit_history,0.0,0.0,960,42
app_033,"[{'category': 'Shopping', 'amount': 185}]",Barbara Anderson,barbara.anderson27@hotmail.com,564-99-3399,192.168.114.161,Female,1993-10-12,30047,83000.0,73.0,0.1,27950.0,True,,6.0,51000.0,185,32
app_454,"[{'category': 'Travel', 'amount': 592}]",Sharon Jackson,sharon.jackson27@outlook.com,953-65-4954,172.28.143.211,Female,1980-05-04,90219,99000.0,74.0,0.18,32988.0,True,,5.3,76000.0,592,45
app_027,"[{'category': 'Groceries', 'amount': 576}]",Nicole Taylor,nicole.taylor83@icloud.com,518-58-6736,192.168.213.217,Female,1994-05-04,90214,75000.0,16.0,0.28,31461.0,False,insufficient_credit_history,0.0,0.0,576,31
app_083,"[{'category': 'Groceries', 'amount': 375}, {'category': 'Shopping', 'amount': 180}, {'category': 'Transportation', 'amount': 571}]",Justin Walker,justin.walker56@gmail.com,423-24-4926,172.27.230.121,Male,1989-04-11,10069,57000.0,40.0,0.23,29607.0,False,algorithm_risk_score,0.0,0.0,1126,36
app_347,"[{'category': 'Education', 'amount': 65}]",Matthew Martinez,matthew.martinez83@outlook.com,365-28-4231,192.168.106.31,Male,1979-04-01,10094,80000.0,42.0,0.38,17742.0,True,,6.3,38000.0,65,46
app_205,"[{'category': 'Entertainment', 'amount': 821}, {'category': 'Utilities', 'amount': 727}]",Anna Rodriguez,anna.rodriguez64@hotmail.com,676-49-1041,10.244.192.51,Female,1985-02-06,90267,66000.0,53.0,0.25,23205.0,False,algorithm_risk_score,0.0,0.0,1548,41
app_477,"[{'category': 'Groceries', 'amount': 343}, {'category': 'Transportation', 'amount': 340}]",Dennis White,dennis.white80@yahoo.com,586-69-8442,192.168.193.44,Male,1992-07-08,10096,82000.0,12.0,0.42,22805.0,False,algorithm_risk_score,0.0,0.0,683,33
app_398,"[{'category': 'Rent', 'amount': 693}, {'category': 'Dining', 'amount': 481}, {'category': 'Fitness', 'amount': 373}]",Susan Nelson,susan.nelson67@protonmail.com,270-80-2724,172.31.197.62,Female,1969-10-12,90272,58000.0,92.0,0.14,20917.0,False,algorithm_risk_score,0.0,0.0,1547,56
app_427,"[{'category': 'Insurance', 'amount': 890}]",Joseph Wilson,joseph.wilson4@mail.com,508-58-9304,10.236.75.112,Male,1983-10-12,90299,117000.0,80.0,0.27,39525.0,True,,5.6,34000.0,890,42
app_126,"[{'category': 'Shopping', 'amount': 861}]",Jerry Rodriguez,jerry.rodriguez40@protonmail.com,477-14-5888,192.168.199.162,Male,1988-02-08,10054,83000.0,48.0,0.39,33657.0,True,,4.1,37000.0,861,38
app_340,"[{'category': 'Education', 'amount': 205}, {'category': 'Entertainment', 'amount': 842}]",Samantha Allen,samantha.allen89@protonmail.com,334-78-8984,172.26.145.134,Female,1988-09-12,90238,107000.0,56.0,0.18,45341.0,True,,4.3,33000.0,1047,37
app_031,"[{'category': 'Travel', 'amount': 155}, {'category': 'Insurance', 'amount': 62}, {'category': 'Fitness', 'amount': 320}]",Frank Baker,frank.baker87@icloud.com,216-52-4471,172.28.35.177,Male,1973-05-05,90258,79000.0,83.0,0.36,17700.0,True,,4.4,51000.0,537,52
app_085,"[{'category': 'Fitness', 'amount': 679}, {'category': 'Entertainment', 'amount': 337}, {'category': 'Travel', 'amount': 382}]",Barbara Brown,barbara.brown97@yahoo.com,435-96-5496,10.229.154.59,Female,2000-12-01,90234,37000.0,5.0,0.15,18428.0,False,insufficient_credit_history,0.0,0.0,1398,25
app_067,"[{'category': 'Utilities', 'amount': 186}]",Scott Wilson,scott.wilson54@gmail.com,760-63-1612,192.168.141.24,Male,1997-07-05,10031,39000.0,36.0,0.37,10486.0,True,,4.3,56000.0,186,28
app_434,"[{'category': 'Shopping', 'amount': 644}]",Edward Flores,edward.flores2@icloud.com,565-99-4837,192.168.194.45,Male,1999-08-10,10050,35000.0,0.0,0.27,14397.0,False,algorithm_risk_score,0.0,0.0,644,26
app_050,"[{'category': 'Dining', 'amount': 259}, {'category': 'Travel', 'amount': 260}]",Amanda Brown,amanda.brown92@yahoo.com,695-46-5371,172.30.31.249,Female,1994-06-05,90267,30000.0,49.0,0.06,9588.0,True,,2.5,48000.0,519,31
app_017,"[{'category': 'Entertainment', 'amount': 715}, {'category': 'Transportation', 'amount': 156}, {'category': 'Gambling', 'amount': 125}]",Nicole Allen,nicole.allen46@outlook.com,974-39-2580,192.168.15.187,Female,1995-11-02,90282,109000.0,60.0,0.15,40059.0,True,,6.1,55000.0,996,30
app_304,"[{'category': 'Utilities', 'amount': 62}]",Pamela Nelson,pamela.nelson7@aol.com,117-67-6540,10.224.21.213,Female,1981-06-08,90208,106000.0,69.0,0.2,51392.0,False,algorithm_risk_score,0.0,0.0,62,44
app_094,"[{'category': 'Healthcare', 'amount': 891}, {'category': 'Entertainment', 'amount': 332}, {'category': 'Groceries', 'amount': 671}]",Kenneth Scott,kenneth.scott82@outlook.com,693-48-2032,10.175.210.27,Male,1986-03-11,10092,111000.0,44.0,0.43,47525.0,True,,4.3,28000.0,1894,39
app_242,"[{'category': 'Insurance', 'amount': 435}, {'category': 'Utilities', 'amount': 742}]",Raymond Davis,raymond.davis31@outlook.com,493-70-3412,172.26.163.12,Male,1993-11-01,90273,51000.0,84.0,0.42,28348.0,False,algorithm_risk_score,0.0,0.0,1177,32
app_077,"[{'category': 'Transportation', 'amount': 878}]",Deborah Campbell,deborah.campbell7@icloud.com,199-17-5138,172.19.144.24,Female,1994-07-01,90275,86000.0,27.0,0.15,41449.0,False,algorithm_risk_score,0.0,0.0,878,31
app_281,"[{'category': 'Transportation', 'amount': 527}]",Timothy Davis,timothy.davis7@outlook.com,971-87-5125,172.17.250.191,Male,1988-06-09,10071,99000.0,26.0,0.29,39634.0,True,,5.9,47000.0,527,37
app_248,"[{'category': 'Travel', 'amount': 620}]",Susan Clark,susan.clark76@outlook.com,759-56-5500,10.196.31.120,Female,1963-07-12,90258,84000.0,111.0,0.2,41525.0,False,algorithm_risk_score,0.0,0.0,620,62
app_311,"[{'category': 'Groceries', 'amount': 716}, {'category': 'Travel', 'amount': 285}]",Anna Jones,anna.jones21@gmail.com,439-27-7275,172.18.235.175,Female,2001-02-10,90234,85432.789123,22.0,0.43,11285.0,True,,4.2,44000.0,1001,25
app_118,"[{'category': 'Education', 'amount': 754}, {'category': 'Travel', 'amount': 209}]",Dorothy Perez,dorothy.perez34@gmail.com,132-21-8550,192.168.87.39,Female,1959-01-01,30038,110000.0,87.0,0.34,47222.0,False,algorithm_risk_score,0.0,0.0,963,67
app_496,"[{'category': 'Fitness', 'amount': 175}]",Rachel Miller,rachel.miller69@protonmail.com,953-69-6408,10.194.95.93,Female,1979-12-11,90211,87000.0,40.0,0.31,23949.0,True,,6.2,25000.0,175,46
app_282,"[{'category': 'Insurance', 'amount': 399}]",Lisa Baker,lisa.baker23@mail.com,377-29-6956,192.168.209.25,Female,1978-07-03,30017,118000.0,66.0,0.07,32286.0,False,algorithm_risk_score,0.0,0.0,399,47
app_253,"[{'category': 'Dining', 'amount': 223}]",Barbara Allen,barbara.allen1@mail.com,497-28-5851,172.30.65.21,Female,1970-11-08,90241,93000.0,91.0,0.29,27309.0,False,algorithm_risk_score,0.0,0.0,223,55
app_068,"[{'category': 'Healthcare', 'amount': 577}, {'category': 'Utilities', 'amount': 188}]",Emily Lopez,john.doe@invalid,641-36-7605,172.19.231.218,Female,1993-05-09,90282,75000.0,30.0,0.31,40791.0,True,,4.9,20000.0,765,32
app_158,"[{'category': 'Healthcare', 'amount': 681}, {'category': 'Entertainment', 'amount': 760}, {'category': 'Rent', 'amount': 825}]",Maria Harris,maria.harris38@outlook.com,456-33-1025,172.29.126.102,Female,1994-08-12,90286,74000.0,31.0,0.38,27666.0,False,algorithm_risk_score,0.0,0.0,2266,31
app_361,"[{'category': 'Transportation', 'amount': 753}]",Steven Harris,steven.harris82@yahoo.com,243-47-6228,172.29.158.152,Male,1985-03-10,10013,140000.0,19.0,0.2,54813.0,False,algorithm_risk_score,0.0,0.0,753,40
app_040,"[{'category': 'Entertainment', 'amount': 499}]",Samuel Carter,samuel.carter11@yahoo.com,692-44-9305,172.23.184.53,Male,1983-05-05,10015,90000.0,51.0,0.19,28995.0,False,algorithm_risk_score,0.0,0.0,499,42
app_265,"[{'category': 'Healthcare', 'amount': 491}]",Samuel Harris,samuel.harris82@mail.com,684-68-7381,10.168.180.97,Male,1964-10-01,10044,57000.0,67.0,0.14,12651.0,False,algorithm_risk_score,0.0,0.0,491,61
app_047,"[{'category': 'Fitness', 'amount': 147}]",Katherine Lopez,katherine.lopez10@mail.com,241-14-6672,192.168.202.60,Female,1987-11-08,90280,101000.0,0.0,0.16,39861.0,True,,5.6,32000.0,147,38
app_155,"[{'category': 'Insurance', 'amount': 551}]",Anthony Sanchez,anthony.sanchez56@protonmail.com,842-52-1461,10.29.9.21,Male,1977-03-05,90206,100000.0,102.0,0.05,44295.0,True,,4.2,61000.0,551,48
app_331,"[{'category': 'Entertainment', 'amount': 531}]",Eric Garcia,eric.garcia25@aol.com,402-58-5593,10.249.192.226,Male,1974-06-04,10083,88000.0,64.0,0.29,27261.0,False,algorithm_risk_score,0.0,0.0,531,51
app_499,"[{'category': 'Groceries', 'amount': 810}]",Deborah Lee,deborah.lee74@mail.com,843-60-2218,10.1.111.83,Female,1983-02-12,90218,111000.0,3.0,0.19,78838.0,True,,4.1,62000.0,810,43
app_402,"[{'category': 'Education', 'amount': 482}]",Heather Flores,heather.flores23@mail.com,100-58-8097,172.21.176.42,Female,1965-07-03,90214,88000.0,27.0,,37281.0,True,,3.2,17000.0,482,60
app_333,"[{'category': 'Healthcare', 'amount': 83}]",Brenda Rivera,brenda.rivera75@mail.com,531-44-6342,172.20.119.239,Female,1982-01-02,90254,85000.0,48.0,0.19,20643.0,True,,5.3,73000.0,83,44
app_417,"[{'category': 'Travel', 'amount': 739}, {'category': 'Healthcare', 'amount': 765}]",Patrick Green,patrick.green57@aol.com,852-28-8582,172.26.226.117,Male,1980-10-04,10072,63000.0,44.0,0.22,25271.0,True,,4.7,48000.0,1504,45
app_316,"[{'category': 'Entertainment', 'amount': 774}, {'category': 'Travel', 'amount': 642}]",Paul Brown,paul.brown98@aol.com,413-70-1353,172.17.253.4,Male,1989-07-02,10003,74000.0,16.0,0.30000000000000004,25959.0,False,insufficient_credit_history,0.0,0.0,1416,36
app_006,"[{'category': 'Shopping', 'amount': 121}, {'category': 'Insurance', 'amount': 570}]",Scott Wright,scott.wright39@outlook.com,158-53-3545,172.26.92.152,Male,1987-12-07,10048,82000.0,24.0,0.21,0.0,True,,6.2,27000.0,691,38
app_383,"[{'category': 'Shopping', 'amount': 452}]",Richard Carter,richard.carter61@protonmail.com,893-66-4336,10.214.83.104,Male,1992-01-09,10058,62000.0,0.0,0.38,23113.0,True,,4.9,43000.0,452,34
app_131,"[{'category': 'Entertainment', 'amount': 878}, {'category': 'Rent', 'amount': 233}]",Janet Johnson,janet.johnson91@gmail.com,605-97-2230,10.245.40.15,Female,1960-02-01,90286,85000.0,127.0,0.09,14930.0,True,,5.8,32000.0,1111,66
app_440,"[{'category': 'Utilities', 'amount': 562}]",Frank Young,frank.young21@mail.com,979-12-4442,172.20.230.209,Male,1990-01-01,10009,74000.0,80.0,0.28,25925.0,True,,5.3,73000.0,562,36
app_138,"[{'category': 'Insurance', 'amount': 371}, {'category': 'Entertainment', 'amount': 305}, {'category': 'Adult Entertainment', 'amount': 848}]",Kevin Lopez,kevin.lopez85@protonmail.com,672-64-7149,192.168.36.21,Male,1963-01-08,10036,64000.0,56.0,0.24,26880.0,False,algorithm_risk_score,0.0,0.0,1524,63
app_002,"[{'category': 'Education', 'amount': 533}]",Kevin Roberts,kevin.roberts9@protonmail.com,992-61-4010,172.19.95.144,Male,1999-01-08,10020,41000.0,5.0,0.36,18200.0,False,algorithm_risk_score,0.0,0.0,533,27
app_185,"[{'category': 'Utilities', 'amount': 570}, {'category': 'Travel', 'amount': 191}, {'category': 'Healthcare', 'amount': 587}]",George Clark,george.clark73@aol.com,804-59-4925,10.178.229.242,Male,1984-10-05,10039,60000.0,65.0,0.34,38690.0,True,,5.6,24000.0,1348,41
app_030,"[{'category': 'Healthcare', 'amount': 874}]",Christopher Allen,christopher.allen95@hotmail.com,605-74-9223,172.20.144.30,Male,1989-12-03,10063,72000.0,30.0,0.37,28898.0,False,insufficient_credit_history,0.0,0.0,874,36
app_035,"[{'category': 'Healthcare', 'amount': 372}, {'category': 'Education', 'amount': 711}, {'category': 'Utilities', 'amount': 473}]",Ashley Ramirez,ashley.ramirez39@yahoo.com,300-69-5628,192.168.199.159,Female,1975-01-03,90233,81000.0,37.0,0.07,35656.0,True,,5.3,40000.0,1556,51
app_042,"[{'category': 'Insurance', 'amount': 153}, {'category': 'Dining', 'amount': 468}]",Joseph Lopez,joseph.lopez1@gmail.com,652-70-5530,192.168.91.142,Male,1990-04-05,10044,69000.0,43.0,0.41000000000000003,15974.0,False,algorithm_risk_score,0.0,0.0,621,35
app_161,"[{'category': 'Dining', 'amount': 155}]",James Hernandez,james.hernandez26@gmail.com,279-33-8125,192.168.114.31,Male,2001-06-04,10067,40000.0,16.0,0.07,21612.0,False,algorithm_risk_score,0.0,0.0,155,24
app_328,"[{'category': 'Fitness', 'amount': 219}, {'category': 'Insurance', 'amount': 336}, {'category': 'Healthcare', 'amount': 178}]",Raymond Nguyen,raymond.nguyen73@mail.com,759-78-1197,172.18.33.215,Male,1982-07-06,10076,93000.0,28.0,0.12,35502.0,True,,3.7,66000.0,733,43
app_415,"[{'category': 'Education', 'amount': 764}, {'category': 'Dining', 'amount': 804}]",Patrick Martin,patrick.martin81@hotmail.com,122-39-5106,172.20.236.220,Male,1994-12-01,10002,105000.0,32.0,0.06,37428.0,False,algorithm_risk_score,0.0,0.0,1568,31
app_199,"[{'category': 'Healthcare', 'amount': 382}, {'category': 'Rent', 'amount': 327}]",Donald Garcia,donald.garcia71@hotmail.com,264-53-5742,192.168.142.118,Male,1994-07-07,30008,68000.0,43.0,0.41000000000000003,8346.0,False,algorithm_risk_score,0.0,0.0,709,31
